enheterna har aktuella genomförandeplaner för de boende;U28112
enheterna har dokumentation om delaktighet i genomförandeplanen för de boende;U28113
enheterna har individuellt utformade mål i genomförandeplanen för de boende;U28116
metoder för inflytande - enheterna har regelbundna, gemensamma möten för de boende;U28118
enheterna har rutiner för att säkerställa tillgång till hälso- och sjukvård för de boende;U28119
enheterna har rutiner för samverkan kring hjälpmedel för de boende;U28120
individuella kompetensutvecklingsplaner finns för samtliga i personalgruppen på enheten;U28121
samlad kompetensutvecklingsplan för personalens kompetensutveckling finns vid enheten;U28122
kompetensutveckling inom alternativ och kompletterande kommunikation (akk) har erbjudits till personalen på enheten;U28123
kontinuerlig handledning har erbjudits till personalen på enheterna;U28124
enheten har rutin för personalens agerande vid misstanke/upptäckt av att den enskilde har utsatts för våld eller andra övergrepp;U28125
enheten har rutin för personalens agerande vid misstanke/upptäckt av att den enskilde är beroende av/missbrukar läkemedel;U28126
enheten har rutin för personalens agerande vid misstanke/upptäckt av att den enskilde är beroende av/missbrukar alkohol eller andra beroendeframkallande medel (ej läkemedel);U28127
på enheten används enskildas uppfattning för att utveckla verksamheten för de boende;U28128
andel personer med en aktuell genomförandeplan.;U28129
andel personer med en aktuell genomförandeplan som innehåller dokumentation om delaktighet.;U28130
andel personer med en aktuell genomförandeplan som innehåller individuellt utformade mål.;U28131
de dagliga verksamheterna har aktuella genomförandeplaner för deltagande personer.;U28132
de dagliga verksamheterna har dokumentation om delaktighet i genomförandeplanen för deltagande personer;U28133
de dagliga verksamheterna har individuellt utformade mål i genomförandeplanen för deltagande personer;U28134
metoder för inflytande - de dagliga verksamheterna håller regelbundna, gemensamma möten;U28135
individuella kompetensutvecklingsplaner finns för samtliga i personalgruppen i den dagliga verksamheten.;U28136
samlad kompetensutvecklingsplan för personalen inom den dagliga verksamheten.;U28137
kompetensutveckling inom alternativ och kompletterande kommunikation (akk) har erbjudits till personalen på den dagliga verksamheten.;U28138
kontinuerlig handledning har erbjudits till personalen på den dagliga verksamheten.;U28139
den dagliga verksamheten har rutin för personalens agerande vid misstanke/upptäckt av att den enskilde har utsatts för våld eller andra övergrepp.;U28140
den dagliga verksamheten har rutin för personalens agerande vid misstanke/upptäckt av att den enskilde är beroende av/missbrukar läkemedel;U28141
den dagliga verksamheten har rutin för personalens agerande vid misstanke/upptäckt av att den enskilde är beroende av/missbrukar alkohol eller andra beroendeframkallande medel (ej läkemedel);U28142
andel personer i den dagliga verksamheten med en aktuell genomförandeplan.;U28143
andel personer i den dagliga verksamheten med en aktuell genomförandeplan som innehåller dokumentation om delaktighet.;U28144
andel personer i den dagliga verksamheten med en aktuell genomförandeplan som innehåller individuellt utformade mål.;U28145
på enheten används enskildas uppfattning för att utveckla verksamheten för deltagande personer;U28146
medellivslängd män, år;N00923
medellivslängd kvinnor, år;N00925
medelålder, år;N00959
födda, antal;N01804
döda, antal;N01805
invånare 80+, andel (%);N01813
invånare 0 år, antal;N01817
invånare 1-5 år, antal;N01926
utrikes födda vuxna invånare, 20-64 år, andel (%);N01950
invånare totalt, antal;N01951
invånare 6-15 år, antal;N01953
invånare 16-19 år, antal;N01954
invånare 65-79 år, antal;N01956
invånare 80+, antal;N01957
invånare 20-64 år, andel (%);N01961
framskrivning, förväntat antal invånare 0 år om 5 år;N02820
framskrivning, förväntat antal invånare 45-64 år om 5 år;N02822
framskrivning, förväntat antal invånare 67-79 år om 10 år;N02829
invånare 20-44 år, antal;N02832
invånare 45-64 år, antal;N02833
framskrivning, förväntat antal invånare om 10 år;N02834
framskrivning, förväntat antal invånare 0-19 år om 10 år;N02835
framskrivning, förväntat antal invånare 20-66 år om 10 år;N02836
framskrivning, förväntat antal invånare 80+ år om 10 år;N02837
framskrivning, förväntad förändring i antal invånare om 10 år, (%);N02838
framskrivning, förväntad förändring i antal invånare 0-19 år om 10 år, (%);N02839
framskrivning, förväntad förändring i antal invånare 20-66 år om 10 år, (%);N02840
framskrivning, förväntad förändring i antal invånare 67-79 år om 10 år, (%);N02841
framskrivning, förväntad förändring i antal invånare 80+ år om 10 år, (%);N02842
framskrivning, förväntad andel invånare 0-19 år om 10 år, andel (%);N02843
framskrivning, förväntad andel invånare 20-66 år om 10 år, andel (%);N02844
framskrivning, förväntad andel invånare 67-79 år om 10 år, andel (%);N02845
framskrivning, förväntad andel invånare 80+ år om 10 år, andel (%);N02846
framskrivning, förväntad försörjningskvot, 20-66 år, om 10 år;N02847
framskrivning, förväntat antal invånare om 5 år;N02907
framskrivning, förväntat antal invånare 1-5 år om 5 år;N02908
framskrivning, förväntat antal invånare 6-15 år om 5 år;N02909
framskrivning, förväntat antal invånare 16-19 år om 5 år;N02910
framskrivning, förväntat antal invånare 20-44 år om 5 år;N02911
framskrivning, förväntat antal invånare 65-79 år om 5 år;N02913
framskrivning, förväntat antal invånare 80+ om 5 år;N02914
invånare 0-19 år, andel (%);N61924
invånare 65-79 år, andel (%);N61925
inflyttade till länet, antal;N61980
utflyttade från länet, antal;N61981
röster på socialdemokraterna i senaste regionvalet, andel (%);N65801
röster på vänsterpartiet i senaste regionvalet, andel (%);N65802
röster på miljöpartiet i senaste regionvalet, andel (%);N65803
röster på sverigedemokraterna i senaste regionvalet, andel (%);N65804
röster på moderaterna i senaste regionvalet, andel (%);N65805
röster på liberalerna i senaste regionvalet, andel (%);N65806
röster på centerpartiet i senaste regionvalet, andel (%);N65807
röster på kristdemokraterna i senaste regionvalet, andel (%);N65808
röster på övriga partier i senaste regionvalet, andel (%);N65809
mediannettoinkomst, kr/inv 20+;N00905
sammanräknad förvärvsinkomst i åldern 20-64 år (median), kr;N00906
förvärvsarbetande invånare 20-64 år, andel (%);N00914
utpendling, andel (%);N00920
nettopendling, andel (%);N00924
företagskonkurser, antal/1000 inv, 16-64 år;N00926
inpendling, andel (%);N00968
nystartade företag, antal/ 1000 inv, 16-64 år;N00999
företagskonkurser, antal anställda, antal/1000 inv, 16-64 år;N01006
invånare 25-64 år med eftergymnasial utbildning, andel (%);N01982
invånare 25-64 år med förgymnasial utbildning, andel (%);N01984
arbetslöshet 16-64 år, årsmedelvärde, andel (%) av registerbaserad arbetskraft;N03932
invånare som någon gång under året erhållit ekonomiskt bistånd, andel (%) av bef.;N31807
elever i år 9 som är behöriga till yrkesprogram, totalt län, andel (%);N60802
gymnasieelever med examen eller studiebevis inom 4 år region, andel (%);N60960
revisionsberättelse utan anmärkning eller avstyrkt ansvarsfrihet region, (ja=1, nej=0);N65405
ansvarsprövning i lf utan anmärkning och med beviljad ansvarsfrihet för samtliga ledamöte, (ja=1, nej=0);N65406
förtroendevalda revisorer i regionen, antal;N65701
lungcancer, dödlighet, 15+ år, antal/100 000 inv;N02010
